Timestamp,Opening Price,High Price,Low Price,Closing Price,No of Shares
1672207200,380.82,383.16,377.63,377.63,6498959521
1672228800,377.63,378.78,375.92,377.92,6498478975
1672250400,377.92,378.44,376.12,376.60,6500518486
1672272000,376.60,377.09,371.22,372.55,6500043800
1672293600,372.33,374.40,371.47,372.58,6530901284
1672315200,372.32,373.04,368.24,373.04,6814576186
1672336800,373.08,377.28,372.70,375.90,6520876024
1672358400,375.90,377.90,374.75,377.48,6519731220
1672380000,377.74,381.60,376.58,381.57,6513855701
1672401600,381.65,381.98,379.70,381.15,6511539649
1672423200,381.07,381.42,374.51,375.70,6511877239
1672444800,375.70,377.69,372.58,377.41,6510108436
1672466400,377.70,378.40,375.59,377.51,6519556958
1672488000,377.47,381.13,377.44,379.86,6513287141
1672509600,380.19,382.89,378.68,381.31,6512655165
1672531200,381.38,383.82,379.82,379.82,6511830415
1672552800,380.08,382.63,379.41,381.31,6515149336
1672574400,381.39,382.03,378.44,378.66,6511903281
1672596000,378.62,384.15,378.39,383.99,6512785535
1672617600,383.85,384.64,380.68,383.07,6512127993
1672639200,382.88,383.29,380.73,380.73,6512060241
1672660800,380.88,384.06,380.10,382.97,6511237935
1672682400,382.83,382.97,380.81,382.66,6509166297
1672704000,382.73,383.38,379.90,383.22,6508008705
1672725600,383.27,383.56,379.93,382.90,6508958330
1672747200,382.90,385.35,380.20,383.82,6520579673
1672768800,383.67,385.89,381.44,383.14,6518463421
1672790400,383.07,383.47,379.39,381.01,6521937125
1672812000,381.08,383.76,380.16,382.25,6524235179
1672833600,382.03,382.63,378.34,379.78,6512944123
1672855200,379.78,387.18,378.99,384.38,6510574508
1672876800,384.15,388.37,383.58,388.04,6505761324
1672898400,387.76,387.99,381.19,383.57,6505950965
1672920000,383.58,383.72,378.43,379.41,6505992314
1672941600,378.98,382.37,378.28,381.36,6507584882
1672963200,381.28,382.71,380.20,380.20,6509429870
1672984800,380.26,383.62,379.51,382.14,6508840974
1673006400,382.33,382.69,378.20,378.96,6510630020
1673028000,378.98,380.14,375.97,378.99,6511948398
1673049600,379.03,381.07,377.03,379.53,6510159621
1673071200,379.72,383.30,379.18,382.92,6506361080
1673092800,382.95,383.26,380.99,381.12,6504549496
1673114400,381.28,383.69,380.90,382.04,6507249410
1673136000,382.01,383.64,380.76,381.79,6507430858
1673157600,381.97,381.97,378.67,378.74,6507499735
1673179200,378.89,380.44,378.52,379.08,6506827923
1673200800,379.16,383.02,377.35,382.56,6510878948
1673222400,382.68,384.94,379.95,380.26,6508364365
1673244000,380.11,381.14,378.75,380.63,6510988011
1673265600,380.59,380.60,374.46,374.48,6585342622
1673287200,374.63,378.10,373.34,377.18,6585001804
1673308800,377.14,377.18,373.99,374.65,6582860184
1673330400,374.70,375.05,372.25,372.46,6586751895
1673352000,372.76,373.62,370.33,371.76,6664109181
1673373600,371.45,375.42,370.17,374.39,6684063323
1673395200,374.60,378.56,374.34,376.88,6624883593
1673416800,377.12,382.12,377.12,380.33,6576836999
1673438400,380.36,382.23,377.96,382.01,6504367727
1673460000,382.07,386.96,381.68,386.68,6504885893
1673481600,386.60,389.24,386.17,388.59,6498142126
1673503200,388.77,393.89,388.30,391.29,6499190943
1673524800,391.32,392.33,387.76,389.91,6494565452
1673546400,389.65,389.65,384.68,388.05,6497252847
1673568000,387.72,390.00,387.72,388.33,6497223484
1673589600,388.24,389.22,386.49,387.84,6495131137
1673611200,387.71,387.71,384.62,386.80,6493218687
1673632800,386.75,387.94,386.30,387.68,6492384367
1673654400,387.68,389.47,387.11,388.26,6491273755
1673676000,388.30,389.00,386.07,388.76,6491957553
1673697600,388.81,389.81,387.35,389.36,6492605260
1673719200,389.36,390.35,388.37,389.66,6494318981
1673740800,389.66,391.19,388.31,389.92,6495647698
1673762400,389.88,390.64,386.56,387.69,6491993998
1673784000,387.60,388.69,387.44,387.84,6491596246
1673805600,387.98,389.91,387.62,389.02,6493110092
1673827200,389.02,389.34,387.02,388.94,6491980469
1673848800,388.67,392.50,388.67,392.19,6492409880
1673870400,392.19,393.19,391.38,392.14,6496899699
1673892000,392.37,393.05,390.69,391.02,6494933928
1673913600,391.06,393.74,390.78,391.04,6495270483
1673935200,391.00,392.34,390.21,391.91,6496206914
1673956800,391.95,393.16,390.62,391.57,6499244179
1673978400,391.30,391.30,389.39,391.25,6501769415
1674000000,391.25,394.43,391.25,393.36,6500996514
1674021600,393.54,393.96,392.18,393.27,6500271003
1674043200,393.23,395.22,392.23,395.00,6498786085
1674064800,395.10,395.60,393.99,395.44,6495207036
1674086400,395.32,396.47,392.09,392.81,6496219697
1674108000,392.81,397.25,392.69,397.25,6495579857
1674129600,397.25,398.55,396.16,396.37,6493810977
1674151200,396.57,397.70,395.50,396.15,6491475682
1674172800,396.30,398.82,395.29,398.14,6492348262
1674194400,398.35,398.99,395.62,396.03,6492470783
1674216000,396.03,397.03,394.80,395.06,6494666647
1674237600,394.97,395.51,392.41,392.89,6492729285
1674259200,392.94,396.19,392.55,394.94,6490855952
